agriculture +,anti-growth economy +,anti-imperialism +,centralism +,constitution +,constitution -,controlled economy +,corporatism +,culture +,decentralism +,democracy +,economic goals,economic orthodoxy +,economic planning +,education +,education -,environmentalism +,europe +,europe -,foreign special +,foreign special -,free enterprise +,freedom/human rights +,gov-admin efficiency +,incentives +,infrastructure +,internationalism +,internationalism -,keynesian demand +,labour +,labour -,law and order +,market regulation +,marxist analysis +,middle class +,military +,military -,minority groups +,multiculturalism +,multiculturalism -,national way of life +,national way of life -,nationalization +,non economic groups +,peace +,political authority +,political corruption -,productivity +,protectionism +,protectionism -,social harmony +,social justice +,traditional morality +,traditional morality -,welfare +,welfare -
landwirtschaft,nachhaltige,machtpolitischer,bund,grundgesetz,grundgesetz,mindestlohn,arbeitgebern,kultur,kommunen,demokratie,arbeitsplätze,schulden,stadtumbau,bildung,hochschulen,klimaschutz,europäische,eu,russland,wiederaufflackern,eigenverantwortung,menschenrechte,bürokratie,unternehmen,forschung,nationen,globalisierungskritikerinnen,binnennachfrage,arbeit,drittelparität,kriminalität,verbraucher,neoliberalismus,mittelstand,bundeswehr,abrüstung,behinderungen,einwanderungsland,integration,land,npd,privatisierung,frauen,frieden,koalition,korruption,wachstum,freihandels,handelshemmnisse,engagement,frauen,familien,lebenspartnerschaften,versorgung,vorsorge
landwirte,nachhaltigkeit,interventionismus,betreuungsstandards,grundgesetzes,kinderrechte,gesetzlichen,sozialpartnerschaft,kunst,gemeinden,demokratische,beschäftigung,haushalte,ost,hochschulen,hochschulsanierungen,umwelt,eu,mitgliedstaaten,partnerschaft,raketenstationierungen,wettbewerb,freiheit,verwaltung,mittelstand,infrastruktur,vereinten,partnerstaaten,investitionen,beschäftigten,vorstandsentscheidungen,polizei,verbraucherinnen,kapitalismus,mitte,soldaten,atomwaffen,migrantinnen,integration,zuwanderung,sprache,rechtsextremismus,daseinsvorsorge,kinder,friedenspolitik,fraktion,abgeordnetenbestechung,wirtschaftswachstum,freihandelsabkommen,exportsubventionen,bürgerschaftliches,gerechtigkeit,familie,lebensgemeinschaften,grundsicherung,private
bauern,ökologische,machtinteressen,ländern,verfassung,gg,flächendeckenden,gewerkschaften,kulturelle,länder,bürgerinnen,wettbewerbsfähigkeit,konsolidierung,solidarpakt,schulen,trägerschaft,energien,europa,union,beziehungen,vereinnahmung,private,daten,vereinfachung,kleine,weiterbildung,internationalen,entwicklungsländer,öffentliche,arbeitnehmer,gewerkschaftsvertretern,gewalt,marktwirtschaft,herrschenden,rückgrat,nato,bundeswehr,opfer,vielfalt,erlernen,deutschlands,antisemitismus,hand,ältere,krisenprävention,genau,nebeneinkünfte,wirtschaftliches,transnationaler,doha,solidarität,teilhabe,eltern,cannabis,rente,eigenverantwortung
agrarpolitik,nachhaltiges,orientierende,bildungsstandards,werteordnung,absätze,vergleichsmiete,tarifautonomie,sport,bund,parlament,räume,neuverschuldung,west,studierenden,privatwirtschaftliches,natur,europäischen,europäischen,transatlantische,hegemonialer,staat,bürgerrechte,effizienz,existenzgründer,technologien,internationale,budgethilfen,lohnsteigerungen,arbeitsbedingungen,abfindungsregelungen,straftaten,wettbewerb,finanzkapitalismus,berufe,soldatinnen,rüstungskontrolle,migranten,einbürgerung,zuwanderern,deutsche,rassismus,eigentum,jugendliche,zivile,bundesregierung,bestechlichkeit,wohlstand,behandelter,abschottung,zusammenhalt,einkommen,kinder,paare,pflege,altersvorsorge
ernährungswirtschaft,nachhaltigen,punktesysteme,abschlussbezogene,forderndes,staatsziel,ortsüblichen,sozialpartnern,kulturpolitik,kommunalen,demokratischen,ländlichen,euro,programm,schule,sponsoring,emissionen,union,europäische,transatlantischen,stützpunkte,privatisierung,datenschutz,reform,wagniskapital,mobilität,entwicklungszusammenarbeit,ureigene,zukunftsinvestitionen,arbeitnehmerinnen,arbeitsgerichtsprozessen,bekämpfen,banken,sozialismus,handwerk,ausrüstung,wehrpflicht,behinderte,staatsangehörigkeit,sprache,deutschen,nationalismus,öffentliche,junge,zivilen,afd,abgeordneten,aufbau,dogmen,anbaugebieten,ehrenamt,männern,vereinbarkeit,füreinander,leistungen,betriebliche
landwirtschaftlichen,ökologischen,zuwider,kooperationsverbot,wertegerüst,gleichheitsrechte,mindestlohns,arbeitnehmern,kulturellen,ort,bürger,regionen,solide,ii,lehre,studienbeiträge,klima,mitgliedstaaten,grenzschutzagentur,amerika,oppositionellen,unternehmen,selbstbestimmung,vereinfachen,mittelständische,innovation,staaten,gewaltsame,binnenkonjunktur,arbeitsplätze,einstellungshemmnis,steuerhinterziehung,verbraucherschutz,kapitalistische,geisteshaltung,streitkräfte,nato,behinderung,interkulturelle,zuwandernden,zuwanderung,verbotsverfahren,öffentlicher,kindern,friedens,glaube,bestechung,beschäftigung,wto,protektionismus,ehrenamtliche,gleiche,beruf,gleichgeschlechtliche,rentenversicherung,eigenvorsorge
forstwirtschaft,ökologisch,selektiven,bundesweit,gesellschaftsbild,verankern,auftragnehmern,tarifparteien,künstlerinnen,kommunale,bundestag,ländliche,finanzen,wohnungsmärkte,lernen,studiengängen,erneuerbaren,europas,frontex,israel,auftretende,markt,grundrechte,vereinfacht,rahmenbedingungen,innovationen,zusammenarbeit,mexiko,einkommensentwicklung,arbeitsmarkt,beschäftigungsdauer,bekämpfung,unternehmen,sozialistische,gesundheitshandwerker,bündnisverteidigung,militärischen,behinderten,staatsbürgerschaft,zuwanderer,heimat,allheilmittel,wasserversorgung,gewalt,konfliktbearbeitung,antrag,rechtsverhältnisse,wirtschaftliche,aufgedrängt,hauptexportprodukten,gesellschaft,männer,kindern,drogen,kindergeld,rentenversicherung
kulturlandschaft,wirtschaften,neokolonialen,schulsystemen,freiheitlichste,geldwertwertstabilität,französischem,arbeitgeberverbänden,künstler,selbstverwaltung,beteiligung,ostdeutschland,schuldenbremse,stadt,schüler,gefos,erneuerbare,kommission,kommission,israels,bestrebungen,eigeninitiative,recht,bund,mittlere,ausbildung,afrika,kritiker,stärkung,löhne,aufsichtsrat,sicherheit,finanzmärkte,neuanfangs,patientennahe,einsatz,massenvernichtungswaffen,barrierefreiheit,kulturen,parallelgesellschaften,kulturnation,fremdenhass,rekommunalisieren,mädchen,friedensdienst,richtig,abgeordnetengesetz,brachliegenden,aufkommenden,märkte,zivilgesellschaft,diskriminierung,christlichen,ehen,hartz,kapitalgedeckte
bäuerinnen,wachstum,partnerländer,energiekonzepten,unantastbar,abs,mieterhöhungen,verabredeten,kulturförderung,städte,demokratisch,arbeit,währung,planungssicherheit,studium,lehrangebot,naturschutz,gemeinsame,vollmitgliedschaft,nehmender,gazastreifens,leistung,menschenwürde,bürokratische,mittleren,ausbau,entwicklungsländer,verantwortung,schlagartig,beschäftigung,gewerkschaftsprivileg,justiz,regeln,kräfteverhältnisse,heilmittelerbringer,truppe,rüstungsexporte,flüchtlinge,integrationspolitik,gelingende,landes,verbot,öffentlichen,jugendpolitik,konflikte,regierung,spenden,dynamik,welthandelsorganisation,handelsbarrieren,engagements,herkunft,kirchen,eingetragene,iv,alterssicherung
